,Day,Total cases,test_data,pred_1
0,2020/1/16,0,766.0,769.4166240030033
1,2020/1/17,0,770.0,772.8036432529478
2,2020/1/18,0,776.0,775.9104980740925
3,2020/1/19,0,776.0,779.0912120548215
4,2020/1/20,0,780.0,782.1533564872119
5,2020/1/21,0,783.0,785.1755949925378
6,2020/1/22,1,785.0,788.1512602742789
7,2020/1/23,1,793.0,791.0678060813751
8,2020/1/24,3,795.0,793.9460736533229
9,2020/1/25,3,797.0,796.778682495889
10,2020/1/26,4,799.0,799.5721283842696
11,2020/1/27,5,802.0,802.3288068000065
12,2020/1/28,8,808.0,805.0501525864013
13,2020/1/29,8,812.0,807.7393692225977
14,2020/1/30,9,815.0,810.3980446347728
15,2020/1/31,10,817.0,813.028333054685
16,2020/2/1,10,819.0,815.6320880402562
17,2020/2/2,10,822.0,818.2109796999446
18,2020/2/3,10,825.0,820.7666744445277
19,2020/2/4,11,828.0,823.3006564662651
20,2020/2/5,11,828.0,825.8143464086327
21,2020/2/6,16,834.0,828.3090658817855
22,2020/2/7,16,838.0,830.7860461754252
23,2020/2/8,17,842.0,833.2464442882838
24,2020/2/9,18,842.0,835.6913380780101
25,2020/2/10,18,843.0,838.1217368696767
26,2020/2/11,18,851.0,840.5385840579443
27,2020/2/12,18,855.0,842.9427613659751
28,2020/2/13,18,862.0,845.3350934574271
29,2020/2/14,18,868.0,847.7163511295777
30,2020/2/15,18,870.0,850.0872550955694
31,2020/2/16,20,881.0,852.4484791585177
32,2020/2/17,22,881.0,854.8006532548004
33,2020/2/18,22,884.0,857.1443663434136
34,2020/2/19,23,889.0,859.4801690449725
35,2020/2/20,24,889.0,861.8085761506005
36,2020/2/21,26,890.0,864.1300689498289
37,2020/2/22,26,893.0,866.4450974099025
38,2020/2/23,28,895.0,868.7540822161338
39,2020/2/24,30,899.0,871.0574166760415
40,2020/2/25,31,909.0,873.3554685017293
41,2020/2/26,32,911.0,875.648581475416
42,2020/2/27,32,912.0,877.9370770066714
43,2020/2/28,34,915.0,880.2212555884897
44,2020/2/29,39,917.0,882.501398158417
45,2020/3/1,40,919.0,884.777767371211
46,2020/3/2,41,923.0,887.0506087886379
47,2020/3/3,42,924.0,889.320151991842
48,2020/3/4,42,927.0,891.5866116213355
